true_labels,predicted_labels,probabilities
0,0,"[0.15945853292942047, 0.14077672362327576, 0.1363115906715393, 0.13083650171756744, 0.07254171371459961, 0.04741150513291359, 0.10221049189567566, 0.12157981842756271, 0.08887314796447754]"
6,0,"[0.15945836901664734, 0.14077655971050262, 0.13631151616573334, 0.13083675503730774, 0.07254187762737274, 0.047411613166332245, 0.10221041738986969, 0.12157964706420898, 0.0888732373714447]"
0,0,"[0.15945853292942047, 0.14077669382095337, 0.13631169497966766, 0.13083647191524506, 0.07254171371459961, 0.047411561012268066, 0.1022103875875473, 0.12157968431711197, 0.08887319266796112]"
0,0,"[0.15945853292942047, 0.14077669382095337, 0.13631169497966766, 0.13083647191524506, 0.07254171371459961, 0.047411561012268066, 0.1022103875875473, 0.12157968431711197, 0.08887319266796112]"
0,0,"[0.15945860743522644, 0.14077676832675934, 0.13631176948547363, 0.1308363825082779, 0.07254165410995483, 0.04741154611110687, 0.1022103950381279, 0.12157973647117615, 0.08887318521738052]"
0,0,"[0.1594582200050354, 0.14077644050121307, 0.1363113969564438, 0.13083699345588684, 0.07254202663898468, 0.04741167649626732, 0.1022103950381279, 0.12157956510782242, 0.08887329697608948]"
0,0,"[0.1594584733247757, 0.14077666401863098, 0.1363116055727005, 0.1308365762233734, 0.07254175841808319, 0.04741155728697777, 0.10221043229103088, 0.12157972157001495, 0.08887318521738052]"
0,0,"[0.15945835411548615, 0.14077654480934143, 0.13631151616573334, 0.13083675503730774, 0.07254187017679214, 0.047411609441041946, 0.1022104024887085, 0.12157963961362839, 0.0888732299208641]"
0,0,"[0.15945853292942047, 0.14077669382095337, 0.13631169497966766, 0.13083647191524506, 0.07254171371459961, 0.047411561012268066, 0.1022103875875473, 0.12157968431711197, 0.08887319266796112]"
0,0,"[0.15945853292942047, 0.14077669382095337, 0.13631169497966766, 0.13083647191524506, 0.07254171371459961, 0.047411561012268066, 0.1022103875875473, 0.12157968431711197, 0.08887319266796112]"
3,0,"[0.15945866703987122, 0.14077678322792053, 0.13631191849708557, 0.13083627820014954, 0.07254159450531006, 0.047411564737558365, 0.10221031308174133, 0.12157966941595078, 0.08887320756912231]"
0,0,"[0.1594584733247757, 0.14077666401863098, 0.1363116055727005, 0.13083656132221222, 0.07254175841808319, 0.04741155356168747, 0.10221042484045029, 0.12157972157001495, 0.08887318521738052]"
0,0,"[0.15945854783058167, 0.14077672362327576, 0.13631170988082886, 0.13083644211292267, 0.07254167646169662, 0.047411542385816574, 0.1022104024887085, 0.12157972902059555, 0.08887317031621933]"
0,0,"[0.1594584733247757, 0.14077666401863098, 0.1363116055727005, 0.13083656132221222, 0.07254175841808319, 0.04741155356168747, 0.10221042484045029, 0.12157972157001495, 0.08887318521738052]"
7,0,"[0.15945851802825928, 0.14077669382095337, 0.13631166517734528, 0.13083651661872864, 0.0725417286157608, 0.04741155728697777, 0.10221041738986969, 0.12157972157001495, 0.08887319266796112]"
0,0,"[0.15945859253406525, 0.14077675342559814, 0.13631175458431244, 0.13083641231060028, 0.07254166901111603, 0.04741154611110687, 0.10221040993928909, 0.12157973647117615, 0.08887318521738052]"
1,0,"[0.15945835411548615, 0.14077654480934143, 0.13631151616573334, 0.13083675503730774, 0.07254187017679214, 0.047411609441041946, 0.1022104024887085, 0.12157963961362839, 0.0888732373714447]"
1,0,"[0.15945836901664734, 0.14077655971050262, 0.13631151616573334, 0.13083675503730774, 0.07254187762737274, 0.047411613166332245, 0.10221041738986969, 0.12157964706420898, 0.0888732373714447]"
0,0,"[0.1594584733247757, 0.14077666401863098, 0.1363116055727005, 0.13083656132221222, 0.07254175841808319, 0.04741155356168747, 0.10221043229103088, 0.12157972157001495, 0.08887317776679993]"
0,0,"[0.1594584733247757, 0.14077666401863098, 0.1363116055727005, 0.13083656132221222, 0.07254175841808319, 0.04741155356168747, 0.10221043229103088, 0.12157972157001495, 0.08887317776679993]"
0,0,"[0.15945853292942047, 0.14077672362327576, 0.1363115906715393, 0.13083650171756744, 0.07254171371459961, 0.04741150513291359, 0.10221049189567566, 0.12157981842756271, 0.08887314796447754]"
