model,col_height,col_width,train_losses,val_losses,train_accs,val_accs,f1_scores
QGCN,5,50,2.131468892097473,2.1295568003798975,0.19879636292274483,0.1984399375975039,0.1437901420318867
GCN,5,50,2.118177981753098,2.083094495715517,0.19801138222018708,0.2171606864274571,0.13341212646103223
QGCN,50,50,2.1315308589684334,2.1337113958416563,0.19643374891272833,0.19166895415866045,0.10476605974157586
GCN,50,50,2.096824209941061,2.0612526590173896,0.20695853870687156,0.21390337633818282,0.11928532789527264
QGCN,100,50,2.106520819036584,2.1037362561081396,0.20765066080336667,0.20816482675702264,0.1493275236789454
GCN,100,50,2.0897734635754635,2.0571676275946875,0.20925833983497646,0.21444966663023282,0.13303107585444757
QGCN,150,50,2.1255321439943815,2.1230193701657383,0.19333370001650074,0.1923273395995096,0.12359779339201418
GCN,150,50,2.096182289876436,2.063985369422219,0.20569825642153897,0.2142930118512464,0.1277710497402957
QGCN,300,50,2.118904659622594,2.108109712600708,0.2028055546507714,0.21332999248308696,0.15633657977881127
GCN,300,50,2.0963658188518726,2.057045149080681,0.20596506085578103,0.2167376597344024,0.13375843257822687
