model,col_height,col_width,train_losses,val_losses,train_accs,val_accs,f1_scores
QGCN,100,15,2.1310358753329828,2.1453346122394907,0.18564911466790382,0.17999269806498722,0.10063666110000671
GCN,100,15,2.122054603539015,2.1078390352653735,0.19871646176447846,0.19897772909821101,0.11850085791246913
QGCN,100,50,2.103755919556869,2.097609758377075,0.21161357112606466,0.21789409616555083,0.1565637076508423
GCN,100,50,2.096814652806834,2.0588816151474463,0.2052962213542892,0.2180600896364743,0.1309206442478981
QGCN,100,150,2.1157950994215513,2.114982727802161,0.1982023621040624,0.19524267839956003,0.14292237200937585
GCN,100,150,2.093409306124637,2.0663163734204844,0.2026472873172123,0.2088546679499519,0.12643896281458641
QGCN,100,250,2.1357550542605552,2.1360557729547676,0.1887965582272513,0.19194280214491957,0.12902710451186955
GCN,100,250,2.099735711750231,2.065432375127619,0.20074060977526323,0.21050460607727212,0.12607172158270213
QGCN,100,300,2.1116041227390894,2.1062173987879897,0.20294082979726544,0.2024382418992621,0.13212039597899108
GCN,100,300,2.090225067577864,2.05402583064455,0.2066045890303316,0.21719602181584857,0.13174769586487653
QGCN,100,500,2.127335672315798,2.122289534771081,0.19303001728744304,0.19991750309363399,0.14026642848245313
GCN,100,500,2.0978937949004925,2.063350720839067,0.19804926921263555,0.2113295751409322,0.12802384180681697
