true_labels,predicted_labels,probabilities
0,3,"[0.1120912954211235, 0.07304665446281433, 0.10441990196704865, 0.22706687450408936, 0.16867820918560028, 0.09883381426334381, 0.08016026020050049, 0.058994360268116, 0.07670854777097702]"
1,3,"[0.10744939744472504, 0.0952417179942131, 0.12290959805250168, 0.17766214907169342, 0.15140435099601746, 0.08148885518312454, 0.0703558400273323, 0.09540636092424393, 0.0980817899107933]"
4,3,"[0.10735400021076202, 0.09363652020692825, 0.12296256422996521, 0.18008267879486084, 0.15120576322078705, 0.0848400816321373, 0.07062207907438278, 0.09183406829833984, 0.09746222198009491]"
7,3,"[0.10845993459224701, 0.0958310067653656, 0.12307548522949219, 0.17862865328788757, 0.14711342751979828, 0.08370015770196915, 0.07146626710891724, 0.09396778047084808, 0.0977572426199913]"
0,3,"[0.10806643962860107, 0.09562794864177704, 0.12299216538667679, 0.1785801202058792, 0.14893843233585358, 0.08307470381259918, 0.07082999497652054, 0.09428049623966217, 0.09760969877243042]"
0,3,"[0.10746730118989944, 0.09550371021032333, 0.1230011060833931, 0.17777086794376373, 0.1507735699415207, 0.08198440819978714, 0.0702793151140213, 0.0952983871102333, 0.09792137145996094]"
1,3,"[0.10764896124601364, 0.09530571103096008, 0.12288820743560791, 0.1783939152956009, 0.1506885439157486, 0.08230054378509521, 0.07032323628664017, 0.09473547339439392, 0.0977153480052948]"
0,3,"[0.1079341247677803, 0.09515380859375, 0.12282206118106842, 0.17881245911121368, 0.15000075101852417, 0.08262991160154343, 0.07064977288246155, 0.09426439553499222, 0.0977327898144722]"
2,3,"[0.10754771530628204, 0.09503483027219772, 0.12298878282308578, 0.17719046771526337, 0.15101118385791779, 0.08096249401569366, 0.07085661590099335, 0.09572131931781769, 0.098686583340168]"
7,3,"[0.10793574899435043, 0.11614904552698135, 0.1229039877653122, 0.13195422291755676, 0.1136246770620346, 0.073086678981781, 0.10517238080501556, 0.12196581810712814, 0.10720743983983994]"
3,3,"[0.11548838019371033, 0.10775548964738846, 0.12885911762714386, 0.16528943181037903, 0.10995214432477951, 0.08737689256668091, 0.08776584267616272, 0.09757012128829956, 0.09994251281023026]"
7,3,"[0.15108931064605713, 0.10041450709104538, 0.15729211270809174, 0.21546293795108795, 0.08966623246669769, 0.10371343791484833, 0.05567193403840065, 0.058293700218200684, 0.06839582324028015]"
7,3,"[0.12289848178625107, 0.10411407053470612, 0.1329786330461502, 0.18806691467761993, 0.11037196218967438, 0.0966874361038208, 0.0784529373049736, 0.0831083208322525, 0.08332126587629318]"
4,4,"[0.06400611251592636, 0.06892413645982742, 0.1411879062652588, 0.113202303647995, 0.216367706656456, 0.09057740122079849, 0.07945681363344193, 0.09520737826824188, 0.13107025623321533]"
8,4,"[0.09027421474456787, 0.11210180073976517, 0.12114094197750092, 0.11453859508037567, 0.14121580123901367, 0.07122106850147247, 0.10883568972349167, 0.12650738656520844, 0.1141645759344101]"
8,3,"[0.11269169300794601, 0.08050142973661423, 0.12397656589746475, 0.19116932153701782, 0.15856631100177765, 0.09421129524707794, 0.08286995440721512, 0.05028119683265686, 0.1057322770357132]"
4,3,"[0.10726569592952728, 0.07009682059288025, 0.10854287445545197, 0.21893522143363953, 0.17719732224941254, 0.09589605778455734, 0.07827845215797424, 0.054068975150585175, 0.08971861004829407]"
1,3,"[0.11518969386816025, 0.08734724670648575, 0.13211803138256073, 0.17456603050231934, 0.14244703948497772, 0.09079675376415253, 0.08888789266347885, 0.05002877488732338, 0.11861848831176758]"
2,3,"[0.10829779505729675, 0.07003132253885269, 0.1199217364192009, 0.2055954784154892, 0.1846829354763031, 0.10005103051662445, 0.07366079837083817, 0.04505903273820877, 0.09269984066486359]"
2,3,"[0.10510922223329544, 0.06874717772006989, 0.12196264415979385, 0.19955582916736603, 0.1896967887878418, 0.09926239401102066, 0.07292718440294266, 0.04529741406440735, 0.09744138270616531]"
7,3,"[0.11459460109472275, 0.07603413611650467, 0.12451077997684479, 0.1984313726425171, 0.16754835844039917, 0.0982353687286377, 0.07873163372278214, 0.04357655718922615, 0.09833718836307526]"
2,3,"[0.11515185981988907, 0.08045811206102371, 0.12160838395357132, 0.19755856692790985, 0.1551681011915207, 0.09444733709096909, 0.08312922716140747, 0.050877898931503296, 0.10160046815872192]"
0,3,"[0.11382970958948135, 0.07862754166126251, 0.11412928253412247, 0.21126408874988556, 0.1573765128850937, 0.0957661047577858, 0.08086008578538895, 0.0574977733194828, 0.09064891189336777]"
0,3,"[0.11530858278274536, 0.08157972991466522, 0.11184955388307571, 0.21596930921077728, 0.14876209199428558, 0.1003388911485672, 0.08277154713869095, 0.06374496221542358, 0.07967539876699448]"
3,3,"[0.14276286959648132, 0.09547242522239685, 0.14267663657665253, 0.2234887033700943, 0.08736144751310349, 0.11242055147886276, 0.06233867257833481, 0.06926941871643066, 0.06420930474996567]"
6,3,"[0.13263452053070068, 0.10132249444723129, 0.14512041211128235, 0.20603270828723907, 0.0889538899064064, 0.10745084285736084, 0.0655159130692482, 0.07938651740550995, 0.0735827088356018]"
3,3,"[0.13491767644882202, 0.10090440511703491, 0.14720188081264496, 0.21055305004119873, 0.08701776713132858, 0.10838095098733902, 0.0635332241654396, 0.07718802988529205, 0.0703030526638031]"
5,3,"[0.1369527280330658, 0.10092627257108688, 0.15353700518608093, 0.2141510397195816, 0.08622245490550995, 0.10735024511814117, 0.05865457281470299, 0.07437194883823395, 0.06783376634120941]"
2,3,"[0.1401771456003189, 0.09994255006313324, 0.15536724030971527, 0.2198742777109146, 0.08524297922849655, 0.10816927254199982, 0.05589519068598747, 0.07050387561321259, 0.06482747942209244]"
7,3,"[0.1516311913728714, 0.08141627907752991, 0.12263195961713791, 0.23342221975326538, 0.10087312757968903, 0.1137196272611618, 0.07726260274648666, 0.060716237872838974, 0.05832677707076073]"
4,3,"[0.15263304114341736, 0.07964877784252167, 0.12090761959552765, 0.23552396893501282, 0.10275451093912125, 0.11359833925962448, 0.07823305577039719, 0.059348203241825104, 0.05735249072313309]"
6,3,"[0.16370272636413574, 0.08801840245723724, 0.14977264404296875, 0.24414899945259094, 0.08431227505207062, 0.1156611293554306, 0.04909178242087364, 0.0510147288441658, 0.05427731201052666]"
7,3,"[0.14925062656402588, 0.08789714425802231, 0.13200066983699799, 0.2354343831539154, 0.09455859661102295, 0.1157752051949501, 0.06491491198539734, 0.061274003237485886, 0.05889454856514931]"
3,3,"[0.1566944271326065, 0.09140454977750778, 0.15127156674861908, 0.2393408864736557, 0.08325408399105072, 0.11407195776700974, 0.051091909408569336, 0.05636501684784889, 0.05650561675429344]"
2,3,"[0.12765884399414062, 0.10291487723588943, 0.1428438127040863, 0.19530661404132843, 0.09580093622207642, 0.10167213529348373, 0.06888595968484879, 0.08381625264883041, 0.08110059797763824]"
0,3,"[0.12954829633235931, 0.1028800904750824, 0.1454712301492691, 0.1980196088552475, 0.09284225106239319, 0.10247722268104553, 0.06678035110235214, 0.0827893316745758, 0.07919160276651382]"
2,3,"[0.1282755732536316, 0.10249421745538712, 0.1448032557964325, 0.1996835172176361, 0.09921631217002869, 0.10118840634822845, 0.06699955463409424, 0.08045988529920578, 0.07687929272651672]"
2,3,"[0.13226617872714996, 0.10125500708818436, 0.14096258580684662, 0.20202293992042542, 0.0847688689827919, 0.10879990458488464, 0.07023158669471741, 0.08249964565038681, 0.0771932601928711]"
